asset_id,asset_code,asset_name,criticality,status,organization_id,notes
2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,AHU-01,L1,active,00000000-0000-0000-0000-0000000000b1,Primary AHU — load dependent
9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,AHU-02,L2,active,00000000-0000-0000-0000-0000000000b1,Secondary AHU
4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,CHILLER-01,L1,active,00000000-0000-0000-0000-0000000000b1,Main chiller — high sub-meter
86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,BOILER-01,L1,active,00000000-0000-0000-0000-0000000000b1,Heating plant
50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,DB-MAIN,L1,active,00000000-0000-0000-0000-0000000000b1,Main LV board
79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,DB-FLOOR3,L2,active,00000000-0000-0000-0000-0000000000b1,Floor 3 distribution
57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,LIFT-A,L1,active,00000000-0000-0000-0000-0000000000b1,Passenger lift A
6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,LIFT-B,L2,active,00000000-0000-0000-0000-0000000000b1,Goods lift B
c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,PUMP-HW-01,L2,active,00000000-0000-0000-0000-0000000000b1,HWS circulation
00cca8c0-d38f-5cf7-bcd4-22497ed31c44,FCU-301,FCU-301,L3,active,00000000-0000-0000-0000-0000000000b1,Fan coil office 301
df5a27e5-a1b5-5620-b88c-e1fb6174c980,FCU-302,FCU-302,L3,active,00000000-0000-0000-0000-0000000000b1,Fan coil office 302 — unapproved → treat as L2
3ba07b83-7e04-5835-bc79-d56876b0b151,LIGHT-CORE,LIGHT-CORE,L3,active,00000000-0000-0000-0000-0000000000b1,Core lighting — pending PM criticality approval
ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,UPS-IT,L1,active,00000000-0000-0000-0000-0000000000b1,IT UPS
effe74d6-6e74-576e-96ca-b31101bdc1f4,PANEL-FIRE,PANEL-FIRE,L1,active,00000000-0000-0000-0000-0000000000b1,Fire panel — pending PM criticality approval
81e5b385-171e-5889-8c6a-77e4a2aeef49,DOOR-AUTO-1,DOOR-AUTO-1,L2,active,00000000-0000-0000-0000-0000000000b1,Auto door reception
