invoice_ref,vendor_id,vendor_name,score_month,line_count,labour_day_rate,organization_id
INV-APEX-MECH-202602-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-02-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202602-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-02-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202602-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-02-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202602-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-02-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202602-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-02-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202602-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-02-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202603-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-03-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202603-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-03-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202603-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-03-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202603-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-03-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202603-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-03-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202603-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-03-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202604-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-04-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202604-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-04-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202604-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-04-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202604-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-04-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202604-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-04-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202604-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-04-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202605-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-05-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202605-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-05-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202605-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-05-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202605-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-05-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202605-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-05-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202605-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-05-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202606-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-06-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202606-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-06-01,10,380.0,00000000-0000-0000-0000-0000000000b1
