ppm_ref,vendor_id,vendor_name,asset_id,asset_code,frequency,scheduled_date,completed_date,tolerance_days,status,wo_code,organization_id
PPM-APEX-MECH-202602-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-02-03,2026-02-06,7,completed,WO-PPM-APEX-2602-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202602-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-02-08,2026-02-11,7,completed,WO-PPM-APEX-2602-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202602-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-02-13,2026-02-18,7,completed,WO-PPM-APEX-2602-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202602-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-02-18,2026-02-16,7,completed,WO-PPM-APEX-2602-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202602-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-02-23,2026-02-25,7,completed,WO-PPM-APEX-2602-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202602-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-02-03,2026-01-31,7,completed,WO-PPM-BRIG-2602-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202602-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-02-08,2026-02-10,7,completed,WO-PPM-BRIG-2602-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202602-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-02-13,,7,missed,,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202602-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-02-03,,7,missed,,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202602-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-02-08,,7,missed,,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202603-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-03-03,2026-03-08,7,completed,WO-PPM-APEX-2603-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202603-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-03-08,2026-03-07,7,completed,WO-PPM-APEX-2603-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202603-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-03-13,2026-03-13,7,completed,WO-PPM-APEX-2603-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202603-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-03-18,2026-03-16,7,completed,WO-PPM-APEX-2603-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202603-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-03-23,2026-03-25,7,completed,WO-PPM-APEX-2603-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202603-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-03-03,2026-03-11,7,completed,WO-PPM-BRIG-2603-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202603-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-03-08,2026-03-18,7,completed,WO-PPM-BRIG-2603-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202603-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-03-13,2026-03-25,7,completed,WO-PPM-BRIG-2603-UPS-IT,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202603-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-03-03,2026-03-19,7,completed,WO-PPM-SAFE-2603-LIFT-A,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202603-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-03-08,2026-03-12,7,completed,WO-PPM-SAFE-2603-LIFT-B,00000000-0000-0000-0000-0000000000b1
