wo_code,vendor_name,score_month,wo_type,priority,asset_code,asset_id,reported_at,attended_at,completed_at,first_fix,recall,recall_of_wo_code,cost_estimated,cost_actual,attendance_hours,part_code,parts_cost
WO-APEX-2602-1001,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,AHU-01,2254deb1-ceda-5fdc-8662-5e88a82a385f,2026-02-01T07:00:00+00:00,2026-02-01T07:27:04.558050+00:00,2026-02-01T12:24:00+00:00,True,False,,710.26,777.11,4.95,FILTER-HEPA-20,52.24
WO-APEX-2602-1002,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,AHU-02,9082654d-d28b-5d44-8b6e-44a75f9f53ca,2026-02-02T08:00:00+00:00,2026-02-02T13:36:00+00:00,2026-02-02T23:39:51.348446+00:00,True,False,,323.16,326.65,10.06,CONTACTOR-25A,22.76
WO-APEX-2602-1003,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,CHILLER-01,4e25ee9b-426a-5909-8968-db80ba6ee435,2026-02-03T09:00:00+00:00,2026-02-04T02:50:12.530847+00:00,2026-02-07T10:12:00+00:00,True,False,,424.98,611.31,79.36,LAMP-LED-4FT,60.49
WO-APEX-2602-1004,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,BOILER-01,86e56c75-769b-5c12-ade3-52ebb40657dc,2026-02-04T10:00:00+00:00,2026-02-08T14:48:00+00:00,2026-02-09T07:54:46.751885+00:00,True,False,,705.41,785.51,17.11,CONTACTOR-25A,17.32
WO-APEX-2602-1005,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,PUMP-HW-01,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,2026-02-05T11:00:00+00:00,2026-02-05T11:46:26.179663+00:00,2026-02-05T13:45:16.935446+00:00,True,False,,212.99,202.22,1.98,FILTER-HEPA-20,56.09
WO-APEX-2602-1006,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,FCU-301,00cca8c0-d38f-5cf7-bcd4-22497ed31c44,2026-02-06T12:00:00+00:00,2026-02-06T15:02:06.154579+00:00,2026-02-06T23:33:06.656997+00:00,True,False,,662.53,691.72,8.52,BELT-A42,52.51
WO-APEX-2602-1007,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,FCU-302,df5a27e5-a1b5-5620-b88c-e1fb6174c980,2026-02-07T13:00:00+00:00,2026-02-08T02:18:06.605267+00:00,2026-02-09T03:31:05.238351+00:00,False,False,,675.48,646.99,25.22,FILTER-HEPA-20,46.98
WO-APEX-2602-1008,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,AHU-01,2254deb1-ceda-5fdc-8662-5e88a82a385f,2026-02-08T14:00:00+00:00,2026-02-09T14:13:15.847559+00:00,2026-02-14T13:54:12.363954+00:00,True,False,,333.09,363.84,119.68,CONTACTOR-25A,43.58
WO-APEX-2602-1009,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,AHU-02,9082654d-d28b-5d44-8b6e-44a75f9f53ca,2026-02-09T15:00:00+00:00,2026-02-09T15:35:47.175034+00:00,2026-02-09T18:05:38.499444+00:00,True,False,,440.64,402.39,2.5,FILTER-HEPA-20,17.39
WO-APEX-2602-1010,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,CHILLER-01,4e25ee9b-426a-5909-8968-db80ba6ee435,2026-02-10T16:00:00+00:00,2026-02-10T17:33:07.057454+00:00,2026-02-11T09:45:56.788423+00:00,True,False,,609.04,572.7,16.21,FILTER-HEPA-20,40.54
WO-APEX-2602-1011,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,BOILER-01,86e56c75-769b-5c12-ade3-52ebb40657dc,2026-02-11T07:00:00+00:00,2026-02-12T01:52:45.147150+00:00,2026-02-13T14:49:53.762827+00:00,True,False,,391.32,462.1,36.95,CONTACTOR-25A,48.84
WO-APEX-2602-1012,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,PUMP-HW-01,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,2026-02-12T08:00:00+00:00,2026-02-14T01:42:15.099532+00:00,2026-02-15T12:08:18.632814+00:00,True,False,,545.52,529.01,34.43,SEAL-KIT-PUMP,23.36
WO-APEX-2602-1013,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,FCU-301,00cca8c0-d38f-5cf7-bcd4-22497ed31c44,2026-02-13T09:00:00+00:00,2026-02-13T09:34:07.439302+00:00,2026-02-13T10:49:25.447622+00:00,False,False,,760.88,713.56,1.26,FILTER-HEPA-20,41.44
