lookup_key,company_name,activities,expiry_date,status,source
168 SECURITY LIMITED T/A SWORD SECURITY,168 Security Limited t/a Sword Security,"DS, SG",31/10/2028,approved,sia_acs_register_html
1A (1ST ALLIANCE) SERVICES LIMITED,1A (1st Alliance) Services Limited,SG,30-Nov-28,approved,sia_acs_register_html
1SC GUARDING LIMITED,1SC Guarding Limited,"SG, KH",31-May-27,approved,sia_acs_register_html
1ST CLASS PROTECTION LIMITED,1st Class Protection Limited,SG,30-Apr-27,approved,sia_acs_register_html
1ST NATIONWIDE SECURITY LIMITED,1st Nationwide Security Limited,"SG, KH",31-Aug-27,approved,sia_acs_register_html
1ST REACTION SECURITY LIMITED,1st Reaction Security Limited,"KH, SG",31-Aug-29,approved,sia_acs_register_html
1ST SECURITY SOLUTIONS LIMITED,1st Security Solutions Limited,"SG,DS",31-Jan-27,approved,sia_acs_register_html
2012 SECURITY LTD,2012 Security Ltd,"SG, KH",31-May-29,approved,sia_acs_register_html
2015 SECURITY SERVICES LTD,2015 Security Services Ltd,"SG, KH",31-Aug-27,approved,sia_acs_register_html
24 HOUR NATIONWIDE FM SERVICES LTD T/A NATIONWIDE SECURITY SERVICES,24 Hour Nationwide FM Services Ltd T/A Nationwide Security Services,"KH, SG",31-May-28,approved,sia_acs_register_html
247 ALLIANCE LTD,247 Alliance Ltd,"SG, KH",31-May-28,approved,sia_acs_register_html
3 LIONS SECURITY LIMITED,3 Lions Security Limited,"SG, KH, CCTV",30-Jul-28,approved,sia_acs_register_html
360 ALERT SECURITY LTD,360 Alert Security Ltd,"SG ,KH",30-Jun-27,approved,sia_acs_register_html
360 SECURITY & SUPPORT SERVICES LIMITED,360 Security & Support Services Limited,SG,30-Nov-28,approved,sia_acs_register_html
3D SECURITY LIMITED,3D Security Limited,"SG, KH",31-Oct-26,approved,sia_acs_register_html
4 SITE SECURITY SERVICES LIMITED,4 Site Security Services Limited,"KH, SG",31-May-27,approved,sia_acs_register_html
4SSG UK LTD,4SSG UK Ltd,SG,30-Nov-28,approved,sia_acs_register_html
A RAPID RESPONSE SECURITY LIMITED,A Rapid Response Security Limited,"SG, KH",30-Nov-27,approved,sia_acs_register_html
A1 SECURITY HOME COUNTIES (UK) LTD,A1 Security Home Counties (UK) Ltd,"KH, SG",30-Sep-27,approved,sia_acs_register_html
AARON RAIL LIMITED TRADING AS AARON GUARD,Aaron Rail Limited trading as Aaron Guard,SG,30-Apr-27,approved,sia_acs_register_html
ABACUS SECURITY SERVICES LIMITED,Abacus Security Services Limited,SG,31-Jul-28,approved,sia_acs_register_html
ABBEY SECURITY SERVICES LIMITED,Abbey Security Services Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
ABERDEEN ALARM COMPANY LIMITED,Aberdeen Alarm Company Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
ABK SECURITY SERVICES LIMITED,ABK Security Services Limited,"SG,KH",31-Jan-28,approved,sia_acs_register_html
ABM FACILITY SERVICES UK LIMITED T/A ABM,ABM Facility Services UK Limited t/a ABM,"CCTV, SG",31-Jul-27,approved,sia_acs_register_html
ACCLAIMED SECURITY SERVICES LTD,Acclaimed Security Services Ltd,"SG, KH",30-Apr-29,approved,sia_acs_register_html
ACCOLADE (UK) LIMITED,Accolade (UK) Limited,"DS, SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
ACCURA RESOURCING LIMITED,Accura Resourcing Limited,SG,31-Aug-28,approved,sia_acs_register_html
ACTIVE SECURITY SOLUTIONS LIMITED,Active Security Solutions Limited,DS,28-Feb-27,approved,sia_acs_register_html
ACTIVE SECURITY SOLUTIONS NORTH YORKSHIRE LTD,Active Security Solutions North Yorkshire Ltd,"SG, DS, KH",31-May-27,approved,sia_acs_register_html
ADEPT CORPORATE SERVICES LTD,Adept Corporate Services Ltd,"SG, KH, CCTV",30-Jun-27,approved,sia_acs_register_html
ADP SECURITY SYSTEMS LIMITED,ADP Security Systems Limited,"CCTV, KH, SG",30-Apr-27,approved,sia_acs_register_html
ADVANCE GUARDING LTD,Advance Guarding Ltd,"SG, KH",30-Apr-29,approved,sia_acs_register_html
ADVANCE SECURED SOLUTIONS LIMITED,Advance Secured Solutions Limited,SG,31-Jul-27,approved,sia_acs_register_html
ADVANTAGE 1 LIMITED (TRADING AS ADVANTAGE ONE SECURITY),Advantage 1 Limited (trading as Advantage One Security),"SG, KH",30-Sep-27,approved,sia_acs_register_html
ADVANTAGE SECURITY LTD,Advantage Security Ltd,SG,31-Aug-28,approved,sia_acs_register_html
AEGIS GROUP OF COMPANIES LIMITED,Aegis Group Of Companies Limited,"SG, KH",31-Aug-28,approved,sia_acs_register_html
AEJ MANAGEMENT LIMITED,AEJ Management Limited,"SG,CCTV",31-Dec-28,approved,sia_acs_register_html
AGILE GUARDING SERVICES LIMITED,Agile Guarding Services Limited,SG,30-Jun-28,approved,sia_acs_register_html
AIMSECURITY UK LTD,Aimsecurity UK Ltd,SG,31-Jan-29,approved,sia_acs_register_html
AK9 SECURITY AND FM SOLUTIONS LTD,AK9 Security AND FM Solutions Ltd,"SG, KH",30-Jun-28,approved,sia_acs_register_html
AKD FACILITIES MANAGEMENT LIMITED,AKD Facilities Management Limited,SG,31-Dec-28,approved,sia_acs_register_html
AKON SECURITY SERVICES LTD,Akon Security Services Ltd,"DS, SG, CCTV, KH",30-Sep-27,approved,sia_acs_register_html
ALANDALE LOGISTICS LIMITED,Alandale Logistics Limited,SG,29-Feb-28,approved,sia_acs_register_html
ALARM RESPONSE AND KEYHOLDING LIMITED T/A ARM SECURE,Alarm Response and Keyholding Limited t/a ARM Secure,"KH, SG",31-Dec-27,approved,sia_acs_register_html
ALG SECURITY LTD,ALG Security Ltd,"SG, KH",31-Oct-27,approved,sia_acs_register_html
ALL COVER SERVICES LIMITED,All Cover Services Limited,SG,31-Aug-27,approved,sia_acs_register_html
ALL TIME SECURITY LTD,All Time Security Ltd,"DS, SG,KH",30-Jun-28,approved,sia_acs_register_html
ALLANDER SECURITY LIMITED,Allander Security Limited,"KH, SG, CCTV",31-Jul-29,approved,sia_acs_register_html
ALLIANCE EVENTS LIMITED,Alliance Events Limited,"DS, SG",30-Sep-27,approved,sia_acs_register_html
ALLIANCE SECURITY LIMITED,Alliance Security Limited,DS,31-Mar-27,approved,sia_acs_register_html
ALLIANCE SUPPORT GROUP LTD,Alliance Support Group Ltd,"SG, KH",16-Jun-29,approved,sia_acs_register_html
ALLIED SECURE LTD,Allied Secure Ltd,SG,31-Jan-27,approved,sia_acs_register_html
